Year,Nominee,Movie,Winner
1956,Kirk Douglas,Lust for Life,False
1956,Rock Hudson,Giant,False
1956,Laurence Olivier,Richard III,False
1957,Alec Guinness ‡,The Bridge on the River Kwai,True
1957,Marlon Brando,Sayonara,False
1957,Anthony Franciosa,A Hatful of Rain,False
1957,Charles Laughton,Witness for the Prosecution,False
1957,Anthony Quinn,Wild Is the Wind,False
1958,David Niven ‡,Separate Tables,True
1958,Tony Curtis,The Defiant Ones,False
1958,Paul Newman,Cat on a Hot Tin Roof,False
1958,Sidney Poitier,The Defiant Ones,False
1958,Spencer Tracy,The Old Man and the Sea,False
1959,Charlton Heston ‡,Ben-Hur,True
1959,Laurence Harvey,Room at the Top,False
1959,Jack Lemmon,Some Like It Hot,False
1959,Paul Muni,The Last Angry Man,False
1959,James Stewart,Anatomy of a Murder,False
1960,Burt Lancaster ‡,Elmer Gantry,True
1960,Trevor Howard,Sons and Lovers,False
1960,Jack Lemmon,The Apartment,False
1960,Laurence Olivier,The Entertainer,False
1960,Spencer Tracy,Inherit the Wind,False
1961,Maximilian Schell ‡,Judgment at Nuremberg,True
1961,Charles Boyer,Fanny,False
1961,Paul Newman,The Hustler,False
1961,Spencer Tracy,Judgment at Nuremberg,False
1961,Stuart Whitman,The Mark,False
1962,Gregory Peck ‡,To Kill a Mockingbird,True
1962,Burt Lancaster,Birdman of Alcatraz,False
1962,Jack Lemmon,Days of Wine and Roses,False
1962,Marcello Mastroianni,Divorce Italian Style,False
1962,Peter O'Toole,Lawrence of Arabia,False
1963,Sidney Poitier ‡,Lilies of the Field,True
1963,Albert Finney,Tom Jones,False
1963,Richard Harris,This Sporting Life,False
1963,Rex Harrison,Cleopatra,False
1963,Paul Newman,Hud,False
1964,Rex Harrison ‡,My Fair Lady,True
1964,Richard Burton,Becket,False
1964,Peter O'Toole,,False
1964,Anthony Quinn,Zorba the Greek,False
1964,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False
1965,Lee Marvin ‡,Cat Ballou,True
1965,Richard Burton,The Spy Who Came in from the Cold,False
1965,Laurence Olivier,Othello,False
1965,Rod Steiger,The Pawnbroker,False
1965,Oskar Werner,Ship of Fools,False
1966,Paul Scofield ‡,A Man for All Seasons,True
1966,Alan Arkin,"The Russians Are Coming, the Russians Are Coming",False
1966,Richard Burton,Who's Afraid of Virginia Woolf?,False
1966,Michael Caine,Alfie,False
1966,Steve McQueen,The Sand Pebbles,False
1967,Rod Steiger ‡,In the Heat of the Night,True
1967,Warren Beatty,Bonnie and Clyde,False
1967,Dustin Hoffman,The Graduate,False
1967,Paul Newman,Cool Hand Luke,False
1967,Spencer Tracy †,Guess Who's Coming to Dinner,False
1968,Cliff Robertson ‡,Charly,True
1968,Alan Arkin,The Heart Is a Lonely Hunter,False
1968,Alan Bates,The Fixer,False
1968,Ron Moody,Oliver!,False
1968,Peter O'Toole,The Lion in Winter,False
1969,John Wayne ‡,True Grit,True
1969,Richard Burton,Anne of the Thousand Days,False
1969,Dustin Hoffman,Midnight Cowboy,False
1969,Peter O'Toole,"Goodbye, Mr. Chips",False
1969,Jon Voight,Midnight Cowboy,False
1970,George C. Scott §,Patton,True
1970,Melvyn Douglas,I Never Sang for My Father,False
1970,James Earl Jones,The Great White Hope,False
