Year,Nominee,Movie,Winner
1964,Edmond O'Brien,Seven Days in May,False
1964,Lee Tracy,The Best Man,False
1965,Martin Balsam ‡,A Thousand Clowns,True
1965,Ian Bannen,The Flight of the Phoenix,False
1965,Tom Courtenay,Doctor Zhivago,False
1965,Michael Dunn,Ship of Fools,False
1965,Frank Finlay,Othello,False
1966,Walter Matthau ‡,The Fortune Cookie,True
1966,Mako,The Sand Pebbles,False
1966,James Mason,Georgy Girl,False
1966,George Segal,Who's Afraid of Virginia Woolf?,False
1966,Robert Shaw,A Man for All Seasons,False
1967,George Kennedy ‡,Cool Hand Luke,True
1967,John Cassavetes,The Dirty Dozen,False
1967,Gene Hackman,Bonnie and Clyde,False
1967,Cecil Kellaway,Guess Who's Coming to Dinner,False
1967,Michael J. Pollard,Bonnie and Clyde,False
1968,Jack Albertson ‡,The Subject Was Roses,True
1968,Seymour Cassel,Faces,False
1968,Daniel Massey,Star!,False
1968,Jack Wild,Oliver!,False
1968,Gene Wilder,The Producers,False
1969,Gig Young ‡,"They Shoot Horses, Don't They?",True
1969,Rupert Crosse,The Reivers,False
1969,Elliott Gould,Bob & Carol & Ted & Alice,False
1969,Jack Nicholson,Easy Rider,False
1969,Anthony Quayle,Anne of the Thousand Days,False
1970,John Mills ‡,Ryan's Daughter,True
1970,Richard S. Castellano,Lovers and Other Strangers,False
1970,Chief Dan George,Little Big Man,False
1970,Gene Hackman,I Never Sang for My Father,False
1970,John Marley,Love Story,False
1971,Ben Johnson ‡,The Last Picture Show,True
1971,Jeff Bridges,The Last Picture Show,False
1971,Leonard Frey,Fiddler on the Roof,False
1971,Richard Jaeckel,Sometimes a Great Notion,False
1971,Roy Scheider,The French Connection,False
1972,Joel Grey ‡,Cabaret,True
1972,Eddie Albert,The Heartbreak Kid,False
1972,James Caan,The Godfather,False
1972,Robert Duvall,,False
1972,Al Pacino,,False
1973,John Houseman ‡,The Paper Chase,True
1973,Vincent Gardenia,Bang the Drum Slowly,False
1973,Jack Gilford,Save the Tiger,False
1973,Jason Miller,The Exorcist,False
1973,Randy Quaid,The Last Detail,False
1974,Robert De Niro ‡,The Godfather Part II,True
1974,Fred Astaire,The Towering Inferno,False
1974,Jeff Bridges,Thunderbolt and Lightfoot,False
1974,Michael V. Gazzo,The Godfather Part II,False
1974,Lee Strasberg,,False
1975,George Burns ‡,The Sunshine Boys,True
1975,Brad Dourif,One Flew Over the Cuckoo's Nest,False
1975,Burgess Meredith,The Day of the Locust,False
1975,Chris Sarandon,Dog Day Afternoon,False
1975,Jack Warden,Shampoo,False
1976,Jason Robards ‡,All the President's Men,True
1976,Ned Beatty,Network,False
1976,Burgess Meredith,Rocky,False
1976,Laurence Olivier,Marathon Man,False
1976,Burt Young,Rocky,False
1977,Jason Robards ‡,Julia,True
1977,Mikhail Baryshnikov,The Turning Point,False
1977,Peter Firth,Equus,False
1977,Alec Guinness,Star Wars,False
1977,Maximilian Schell,Julia,False
1978,Christopher Walken ‡,The Deer Hunter,True
1978,Bruce Dern,Coming Home,False
1978,Richard Farnsworth,Comes a Horseman,False
1978,John Hurt,Midnight Express,False
1978,Jack Warden,Heaven Can Wait,False
1979,Melvyn Douglas ‡,Being There,True
1979,Robert Duvall,Apocalypse Now,False
1979,Frederic Forrest,The Rose,False
1979,Justin Henry,Kramer vs. Kramer,False
1979,Mickey Rooney,The Black Stallion,False
1980,Timothy Hutton ‡,Ordinary People,True
1980,Judd Hirsch,Ordinary People,False
1980,Michael O'Keefe,The Great Santini,False
1980,Joe Pesci,Raging Bull,False
1980,Jason Robards,Melvin and Howard,False
1981,John Gielgud ‡,Arthur,True
1981,James Coco,Only When I Laugh,False
1981,Ian Holm,Chariots of Fire,False
1981,Jack Nicholson,Reds,False
1981,Howard Rollins,Ragtime,False
1982,Louis Gossett Jr. ‡,An Officer and a Gentleman,True
1982,Charles Durning,The Best Little Whorehouse in Texas,False
1982,John Lithgow,The World According to Garp,False
1982,James Mason,The Verdict,False
1982,Robert Preston,Victor/Victoria,False
1983,Jack Nicholson ‡,Terms of Endearment,True
1983,Charles Durning,To Be or Not to Be,False
1983,John Lithgow,Terms of Endearment,False
1983,Sam Shepard,The Right Stuff,False
1983,Rip Torn,Cross Creek,False
1984,Haing S. Ngor ‡,The Killing Fields,True
1984,Adolph Caesar,A Soldier's Story,False
1984,John Malkovich,Places in the Heart,False
1984,Pat Morita,The Karate Kid,False
1984,Ralph Richardson †,"Greystoke: The Legend of Tarzan, Lord of the Apes",False
1985,Don Ameche ‡,Cocoon,True
1985,Klaus Maria Brandauer,Out of Africa,False
1985,William Hickey,Prizzi's Honor,False
1985,Robert Loggia,Jagged Edge,False
1985,Eric Roberts,Runaway Train,False
1986,Michael Caine ‡,Hannah and Her Sisters,True
1986,Tom Berenger,Platoon,False
1986,Willem Dafoe,,False
1986,Denholm Elliott,A Room with a View,False
1986,Dennis Hopper,Hoosiers,False
1987,Sean Connery ‡,The Untouchables,True
1987,Albert Brooks,Broadcast News,False
1987,Morgan Freeman,Street Smart,False
1987,Vincent Gardenia,Moonstruck,False
1987,Denzel Washington,Cry Freedom,False
1988,Kevin Kline ‡,A Fish Called Wanda,True
1988,Alec Guinness,Little Dorrit,False
1988,Martin Landau,Tucker: The Man and His Dream,False
1988,River Phoenix,Running on Empty,False
1988,Dean Stockwell,Married to the Mob,False
1989,Denzel Washington ‡,Glory,True
1989,Danny Aiello,Do the Right Thing,False
1989,Dan Aykroyd,Driving Miss Daisy,False
1989,Marlon Brando,A Dry White Season,False
1989,Martin Landau,Crimes and Misdemeanors,False
1990,Joe Pesci ‡,GoodFellas,True
1990,Bruce Davison,Longtime Companion,False
1990,Andy García,The Godfather Part III,False
1990,Graham Greene,Dances With Wolves,False
1990,Al Pacino,Dick Tracy,False
1991,Jack Palance ‡,City Slickers,True
1991,Tommy Lee Jones,JFK,False
1991,Harvey Keitel,Bugsy,False
1991,Ben Kingsley,,False
1991,Michael Lerner,Barton Fink,False
1992,Gene Hackman ‡,Unforgiven,True
1992,Jaye Davidson,The Crying Game,False
1992,Jack Nicholson,A Few Good Men,False
1992,Al Pacino,Glengarry Glen Ross,False
1992,David Paymer,Mr. Saturday Night,False
1993,Tommy Lee Jones ‡,The Fugitive,True
1993,Leonardo DiCaprio,What's Eating Gilbert Grape,False
1993,Ralph Fiennes,Schindler's List,False
1993,John Malkovich,In the Line of Fire,False
1993,Pete Postlethwaite,In the Name of the Father,False
1994,Martin Landau ‡,Ed Wood,True
1994,Samuel L. Jackson,Pulp Fiction,False
1994,Chazz Palminteri,Bullets Over Broadway,False
1994,Paul Scofield,Quiz Show,False
1994,Gary Sinise,Forrest Gump,False
1995,Kevin Spacey ‡,The Usual Suspects,True
1995,James Cromwell,Babe,False
1995,Ed Harris,Apollo 13,False
1995,Brad Pitt,12 Monkeys,False
1995,Tim Roth,Rob Roy,False
1996,Cuba Gooding Jr. ‡,Jerry Maguire,True
1996,William H. Macy,Fargo,False
1996,Armin Mueller-Stahl,Shine,False
1996,Edward Norton,Primal Fear,False
1996,James Woods,Ghosts of Mississippi,False
1997,Robin Williams ‡,Good Will Hunting,True
1997,Robert Forster,Jackie Brown,False
1997,Anthony Hopkins,Amistad,False
1997,Greg Kinnear,As Good as It Gets,False
1997,Burt Reynolds,Boogie Nights,False
1998,James Coburn ‡,Affliction,True
1998,Robert Duvall,A Civil Action,False
1998,Ed Harris,The Truman Show,False
1998,Geoffrey Rush,Shakespeare in Love,False
1998,Billy Bob Thornton,A Simple Plan,False
1999,Michael Caine ‡,The Cider House Rules,True
1999,Tom Cruise,Magnolia,False
1999,Michael Clarke Duncan,The Green Mile,False
1999,Jude Law,The Talented Mr. Ripley,False
1999,Haley Joel Osment,The Sixth Sense,False
2000,Benicio del Toro ‡,Traffic,True
2000,Jeff Bridges,The Contender,False
2000,Willem Dafoe,Shadow of the Vampire,False
2000,Albert Finney,Erin Brockovich,False
2000,Joaquin Phoenix,Gladiator,False
2001,Jim Broadbent ‡,Iris,True
2001,Ethan Hawke,Training Day,False
2001,Ben Kingsley,Sexy Beast,False
2001,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,False
2001,Jon Voight,Ali,False
2002,Chris Cooper ‡,Adaptation,True
2002,Ed Harris,The Hours,False
2002,Paul Newman,Road to Perdition,False
2002,John C. Reilly,Chicago,False
2002,Christopher Walken,Catch Me If You Can,False
2003,Tim Robbins ‡,Mystic River,True
2003,Alec Baldwin,The Cooler,False
2003,Benicio del Toro,21 Grams,False
2003,Djimon Hounsou,In America,False
2003,Ken Watanabe,The Last Samurai,False
2004,Morgan Freeman ‡,Million Dollar Baby,True
2004,Alan Alda,The Aviator,False
2004,Thomas Haden Church,Sideways,False
2004,Jamie Foxx,Collateral,False
2004,Clive Owen,Closer,False
2005,George Clooney ‡,Syriana,True
2005,Matt Dillon,Crash,False
2005,Paul Giamatti,Cinderella Man,False
2005,Jake Gyllenhaal,Brokeback Mountain,False
2005,William Hurt,A History of Violence,False
2006,Alan Arkin ‡,Little Miss Sunshine,True
2006,Jackie Earle Haley,Little Children,False
2006,Djimon Hounsou,Blood Diamond,False
2006,Eddie Murphy,Dreamgirls,False
2006,Mark Wahlberg,The Departed,False
2007,Javier Bardem ‡,No Country for Old Men,True
2007,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,False
2007,Philip Seymour Hoffman,Charlie Wilson's War,False
2007,Hal Holbrook,Into the Wild,False
2007,Tom Wilkinson,Michael Clayton,False
2008,Heath Ledger †,The Dark Knight,True
2008,Josh Brolin,Milk,False
2008,Robert Downey Jr.,Tropic Thunder,False
2008,Philip Seymour Hoffman,Doubt,False
2008,Michael Shannon,Revolutionary Road,False
2009(82nd),Christoph Waltz ‡,Inglourious Basterds,True
2009(82nd),Matt Damon,Invictus,False
2009(82nd),Woody Harrelson,The Messenger,False
2009(82nd),Christopher Plummer,The Last Station,False
2009(82nd),Stanley Tucci,The Lovely Bones,False
2010,Christian Bale ‡,The Fighter,True
2010,John Hawkes,Winter's Bone,False
2010,Jeremy Renner,The Town,False
2010,Mark Ruffalo,The Kids Are All Right,False
2010,Geoffrey Rush,The King's Speech,False
2011,Christopher Plummer ‡,Beginners,True
2011,Kenneth Branagh,My Week with Marilyn,False
2011,Jonah Hill,Moneyball,False
2011,Nick Nolte,Warrior,False
2011,Max von Sydow,Extremely Loud & Incredibly Close,False
2012,Christoph Waltz ‡,Django Unchained,True
2012,Alan Arkin,Argo,False
2012,Robert De Niro,Silver Linings Playbook,False
2012,Philip Seymour Hoffman,The Master,False
2012,Tommy Lee Jones,Lincoln,False
2013,Jared Leto ‡,Dallas Buyers Club,True
2013,Barkhad Abdi,Captain Phillips,False
2013,Bradley Cooper,American Hustle,False
2013,Michael Fassbender,12 Years a Slave,False
2013,Jonah Hill,The Wolf of Wall Street,False
2014,J. K. Simmons ‡,Whiplash,True
2014,Robert Duvall,The Judge,False
2014,Ethan Hawke,Boyhood,False
2014,Edward Norton,Birdman,False
2014,Mark Ruffalo,Foxcatcher,False
2015,Mark Rylance ‡,Bridge of Spies,True
2015,Christian Bale,The Big Short,False
2015,Tom Hardy,The Revenant,False
2015,Mark Ruffalo,Spotlight,False
2015,Sylvester Stallone,Creed,False
2016,Mahershala Ali ‡,Moonlight,True
2016,Jeff Bridges,Hell or High Water,False
2016,Lucas Hedges,Manchester by the Sea,False
2016,Dev Patel,Lion,False
2016,Michael Shannon,Nocturnal Animals,False
2017,Sam Rockwell ‡,"Three Billboards Outside Ebbing, Missouri",True
2017,Willem Dafoe,The Florida Project,False
2017,Woody Harrelson,"Three Billboards Outside Ebbing, Missouri",False
2017,Richard Jenkins,The Shape of Water,False
2017,Christopher Plummer,All the Money in the World,False
2018,Mahershala Ali ‡,Green Book,True
2018,Adam Driver,BlacKkKlansman,False
2018,Sam Elliott,A Star Is Born,False
2018,Richard E. Grant,Can You Ever Forgive Me?,False
2018,Sam Rockwell,Vice,False
2019,Brad Pitt ‡,Once Upon a Time in Hollywood,True
2019,Tom Hanks,A Beautiful Day in the Neighborhood,False
2019,Anthony Hopkins,The Two Popes,False
2019,Al Pacino,The Irishman,False
2019,Joe Pesci,,False
2020/21(93rd)[93],Daniel Kaluuya ‡,Judas and the Black Messiah,True
2020/21(93rd)[93],Sacha Baron Cohen,The Trial of the Chicago 7,False
2020/21(93rd)[93],Leslie Odom Jr.,One Night in Miami...,False
2020/21(93rd)[93],Paul Raci,Sound of Metal,False
2020/21(93rd)[93],LaKeith Stanfield,Judas and the Black Messiah,False
2021(94th),Troy Kotsur ‡,CODA,True
2021(94th),Ciarán Hinds,Belfast,False
2021(94th),Jesse Plemons,The Power of the Dog,False
2021(94th),J. K. Simmons,Being the Ricardos,False
2021(94th),Kodi Smit-McPhee,The Power of the Dog,False
2022(95th),Ke Huy Quan ‡,Everything Everywhere All at Once,True
2022(95th),Brendan Gleeson,The Banshees of Inisherin,False
2022(95th),Brian Tyree Henry,Causeway,False
2022(95th),Judd Hirsch,The Fabelmans,False
2022(95th),Barry Keoghan,The Banshees of Inisherin,False
2023(96th),Robert Downey Jr. ‡,Oppenheimer,True
2023(96th),Sterling K. Brown,American Fiction,False
2023(96th),Robert De Niro,Killers of the Flower Moon,False
2023(96th),Ryan Gosling,Barbie,False
2023(96th),Mark Ruffalo,Poor Things,False
2024(97th),Kieran Culkin ‡,A Real Pain,True
2024(97th),Yura Borisov,Anora,False
2024(97th),Edward Norton,A Complete Unknown,False
2024(97th),Guy Pearce,The Brutalist,False
2024(97th),Jeremy Strong,The Apprentice,False
2025(98th),Benicio del Toro,One Battle After Another,False
2025(98th),Jacob Elordi,Frankenstein,False
2025(98th),Delroy Lindo,Sinners,False
2025(98th),Sean Penn,One Battle After Another,False
2025(98th),Stellan Skarsgård,Sentimental Value,False
