Year,Title,Winner
1947(20th),Great Expectations,FALSE
1947(20th),Miracle on 34th Street,FALSE
1948(21st),Hamlet,TRUE
1948(21st),Johnny Belinda,FALSE
1948(21st),The Red Shoes,FALSE
1948(21st),The Snake Pit,FALSE
1948(21st),The Treasure of the Sierra Madre,FALSE
1949(22nd),All the King's Men,TRUE
1949(22nd),Battleground,FALSE
1949(22nd),The Heiress,FALSE
1949(22nd),A Letter to Three Wives,FALSE
1949(22nd),Twelve O'Clock High,FALSE
1950(23rd),All About Eve,TRUE
1950(23rd),Born Yesterday,FALSE
1950(23rd),Father of the Bride,FALSE
1950(23rd),King Solomon's Mines,FALSE
1950(23rd),Sunset Boulevard,FALSE
1951(24th),An American in Paris,TRUE
1951(24th),Decision Before Dawn,FALSE
1951(24th),A Place in the Sun,FALSE
1951(24th),Quo Vadis,FALSE
1951(24th),A Streetcar Named Desire,FALSE
1952(25th),The Greatest Show on Earth,TRUE
1952(25th),High Noon,FALSE
1952(25th),Ivanhoe,FALSE
1952(25th),Moulin Rouge,FALSE
1952(25th),The Quiet Man,FALSE
1953(26th),From Here to Eternity,TRUE
1953(26th),Julius Caesar,FALSE
1953(26th),The Robe,FALSE
1953(26th),Roman Holiday,FALSE
1953(26th),Shane,FALSE
1954(27th),On the Waterfront,TRUE
1954(27th),The Caine Mutiny,FALSE
1954(27th),The Country Girl,FALSE
1954(27th),Seven Brides for Seven Brothers,FALSE
1954(27th),Three Coins in the Fountain,FALSE
1955(28th),Marty,TRUE
1955(28th),Love Is a Many-Splendored Thing,FALSE
1955(28th),Mister Roberts,FALSE
1955(28th),Picnic,FALSE
1955(28th),The Rose Tattoo,FALSE
1956(29th),Around the World in 80 Days,TRUE
1956(29th),Friendly Persuasion,FALSE
1956(29th),Giant,FALSE
1956(29th),The King and I,FALSE
1956(29th),The Ten Commandments,FALSE
1957(30th),The Bridge on the River Kwai,TRUE
1957(30th),12 Angry Men,FALSE
1957(30th),Peyton Place,FALSE
1957(30th),Sayonara,FALSE
1957(30th),Witness for the Prosecution,FALSE
1958(31st),Gigi,TRUE
1958(31st),Auntie Mame,FALSE
1958(31st),Cat on a Hot Tin Roof,FALSE
1958(31st),The Defiant Ones,FALSE
1958(31st),Separate Tables,FALSE
1959(32nd),Ben-Hur,TRUE
1959(32nd),Anatomy of a Murder,FALSE
1959(32nd),The Diary of Anne Frank,FALSE
1959(32nd),The Nun's Story,FALSE
1959(32nd),Room at the Top,FALSE
1960(33rd),The Apartment,TRUE
1960(33rd),The Alamo,FALSE
1960(33rd),Elmer Gantry,FALSE
1960(33rd),Sons and Lovers,FALSE
1960(33rd),The Sundowners,FALSE
1961(34th),West Side Story,TRUE
1961(34th),Fanny,FALSE
1961(34th),The Guns of Navarone,FALSE
1961(34th),The Hustler,FALSE
1961(34th),Judgment at Nuremberg,FALSE
1962(35th),Lawrence of Arabia,TRUE
1962(35th),The Longest Day,FALSE
1962(35th),The Music Man,FALSE
1962(35th),Mutiny on the Bounty,FALSE
1962(35th),To Kill a Mockingbird,FALSE
1963(36th),Tom Jones,TRUE
1963(36th),America America,FALSE
1963(36th),Cleopatra,FALSE
1963(36th),How the West Was Won,FALSE
1963(36th),Lilies of the Field,FALSE
1964(37th),My Fair Lady,TRUE
1964(37th),Becket,FALSE
1964(37th),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE
1964(37th),Mary Poppins,FALSE
1964(37th),Zorba the Greek,FALSE
1965(38th),The Sound of Music,TRUE
1965(38th),Darling,FALSE
1965(38th),Doctor Zhivago,FALSE
1965(38th),Ship of Fools,FALSE
1965(38th),A Thousand Clowns,FALSE
1966(39th),A Man for All Seasons,TRUE
1966(39th),Alfie,FALSE
1966(39th),"The Russians Are Coming, the Russians Are Coming",FALSE
1966(39th),The Sand Pebbles,FALSE
1966(39th),Who's Afraid of Virginia Woolf?,FALSE
1967(40th),In the Heat of the Night,TRUE
1967(40th),Bonnie and Clyde,FALSE
