Year,Nominee,Movie,Winner
1952(25th),Julie Harris,The Member of the Wedding,False
1952(25th),Susan Hayward,With a Song in My Heart,False
1953(26th),Audrey Hepburn ‡,Roman Holiday,True
1953(26th),Leslie Caron,Lili,False
1953(26th),Ava Gardner,Mogambo,False
1953(26th),Deborah Kerr,From Here to Eternity,False
1953(26th),Maggie McNamara,The Moon Is Blue,False
1954(27th),Grace Kelly ‡,The Country Girl,True
1954(27th),Dorothy Dandridge,Carmen Jones,False
1954(27th),Judy Garland,A Star Is Born,False
1954(27th),Audrey Hepburn,Sabrina,False
1954(27th),Jane Wyman,Magnificent Obsession,False
1955(28th),Anna Magnani ‡,The Rose Tattoo,True
1955(28th),Susan Hayward,I'll Cry Tomorrow,False
1955(28th),Katharine Hepburn,Summertime,False
1955(28th),Jennifer Jones,Love is a Many-Splendored Thing,False
1955(28th),Eleanor Parker,Interrupted Melody,False
1956(29th),Ingrid Bergman ‡,Anastasia,True
1956(29th),Carroll Baker,Baby Doll,False
1956(29th),Katharine Hepburn,The Rainmaker,False
1956(29th),Nancy Kelly,The Bad Seed,False
1956(29th),Deborah Kerr,The King and I,False
1957(30th),Joanne Woodward ‡,The Three Faces of Eve,True
1957(30th),Deborah Kerr,"Heaven Knows, Mr. Allison",False
1957(30th),Anna Magnani,Wild Is the Wind,False
1957(30th),Elizabeth Taylor,Raintree County,False
1957(30th),Lana Turner,Peyton Place,False
1958(31st),Susan Hayward ‡,I Want to Live!,True
1958(31st),Deborah Kerr,Separate Tables,False
1958(31st),Shirley MacLaine,Some Came Running,False
1958(31st),Rosalind Russell,Auntie Mame,False
1958(31st),Elizabeth Taylor,Cat on a Hot Tin Roof,False
1959(32nd),Simone Signoret ‡,Room at the Top,True
1959(32nd),Doris Day,Pillow Talk,False
1959(32nd),Audrey Hepburn,The Nun's Story,False
1959(32nd),Katharine Hepburn,"Suddenly, Last Summer",False
1959(32nd),Elizabeth Taylor,,False
1960(33rd),Elizabeth Taylor ‡,BUtterfield 8,True
1960(33rd),Greer Garson,Sunrise at Campobello,False
1960(33rd),Deborah Kerr,The Sundowners,False
1960(33rd),Shirley MacLaine,The Apartment,False
1960(33rd),Melina Mercouri,Never on Sunday,False
1961(34th),Sophia Loren ‡,Two Women,True
1961(34th),Audrey Hepburn,Breakfast at Tiffany's,False
1961(34th),Piper Laurie,The Hustler,False
1961(34th),Geraldine Page,Summer and Smoke,False
1961(34th),Natalie Wood,Splendor in the Grass,False
1962(35th),Anne Bancroft ‡,The Miracle Worker,True
1962(35th),Bette Davis,What Ever Happened to Baby Jane?,False
1962(35th),Katharine Hepburn,Long Day's Journey into Night,False
1962(35th),Geraldine Page,Sweet Bird of Youth,False
1962(35th),Lee Remick,Days of Wine and Roses,False
1963(36th),Patricia Neal ‡,Hud,True
1963(36th),Leslie Caron,The L-Shaped Room,False
1963(36th),Shirley MacLaine,Irma la Douce,False
1963(36th),Rachel Roberts,This Sporting Life,False
1963(36th),Natalie Wood,Love with the Proper Stranger,False
1964(37th),Julie Andrews ‡,Mary Poppins,True
1964(37th),Anne Bancroft,The Pumpkin Eater,False
1964(37th),Sophia Loren,Marriage Italian Style,False
1964(37th),Debbie Reynolds,The Unsinkable Molly Brown,False
1964(37th),Kim Stanley,Séance on a Wet Afternoon,False
1965(38th),Julie Christie ‡,Darling,True
1965(38th),Julie Andrews,The Sound of Music,False
1965(38th),Samantha Eggar,The Collector,False
1965(38th),Elizabeth Hartman,A Patch of Blue,False
1965(38th),Simone Signoret,Ship of Fools,False
1966(39th),Elizabeth Taylor ‡,Who's Afraid of Virginia Woolf?,True
1966(39th),Anouk Aimée,A Man and a Woman,False
1966(39th),Ida Kamińska,The Shop on Main Street,False
